instrument,resolution,phase,ft_h1,ft_h5,ft_h20,ft_mean,base_h1,base_h5,base_h20,base_mean,delta_h1,delta_h5,delta_h20,delta_mean,recommendation,checkpoint_path
FOREXCOM_EURGBPX,1W,1,0.581,0.516,0.403,0.500,0.581,0.565,0.419,0.522,+0.000,-0.049,-0.016,-0.022,base,models/fine_tuned/checkpoint_FOREXCOM_EURGBPX_1W_phase1_20260404.pt
FOREXCOM_EURGBPX,4H,1,0.532,0.523,0.500,0.518,0.527,0.516,0.495,0.513,+0.005,+0.007,+0.005,+0.006,fine_tuned,models/fine_tuned/checkpoint_FOREXCOM_EURGBPX_4H_phase1_20260404.pt
FOREXCOM_EURUSDX,1W,1,0.629,0.565,0.452,0.549,0.629,0.565,0.452,0.549,+0.000,+0.000,+0.000,+0.000,fine_tuned,models/fine_tuned/checkpoint_FOREXCOM_EURUSDX_1W_phase1_20260404.pt
FOREXCOM_EURUSDX,4H,1,0.550,0.547,0.509,0.535,0.547,0.547,0.511,0.535,+0.003,+0.000,-0.002,+0.000,fine_tuned,models/fine_tuned/checkpoint_FOREXCOM_EURUSDX_4H_phase1_20260404.pt
FOREXCOM_GBPJPYX,1W,1,0.435,0.468,0.355,0.419,0.435,0.435,0.306,0.392,+0.000,+0.033,+0.049,+0.027,fine_tuned,models/fine_tuned/checkpoint_FOREXCOM_GBPJPYX_1W_phase1_20260404.pt
FOREXCOM_GBPJPYX,4H,1,0.556,0.561,0.514,0.544,0.556,0.559,0.534,0.550,+0.000,+0.002,-0.020,-0.006,base,models/fine_tuned/checkpoint_FOREXCOM_GBPJPYX_4H_phase1_20260404.pt
FOREXCOM_GBPUSDX,1W,1,0.548,0.516,0.435,0.500,0.565,0.500,0.419,0.495,-0.017,+0.016,+0.016,+0.005,fine_tuned,models/fine_tuned/checkpoint_FOREXCOM_GBPUSDX_1W_phase1_20260404.pt
FOREXCOM_GBPUSDX,4H,1,0.545,0.516,0.500,0.520,0.541,0.507,0.509,0.519,+0.004,+0.009,-0.009,+0.001,fine_tuned,models/fine_tuned/checkpoint_FOREXCOM_GBPUSDX_4H_phase1_20260404.pt
FOREXCOM_USDCADX,4H,1,0.539,0.551,0.530,0.540,0.544,0.562,0.492,0.533,-0.005,-0.011,+0.038,+0.007,fine_tuned,models/fine_tuned/checkpoint_FOREXCOM_USDCADX_4H_phase1_20260404.pt
FOREXCOM_USDCHFX,4H,1,0.538,0.518,0.527,0.528,0.543,0.523,0.525,0.530,-0.005,-0.005,+0.002,-0.003,base,models/fine_tuned/checkpoint_FOREXCOM_USDCHFX_4H_phase1_20260404.pt
FOREXCOM_USDJPYX,4H,1,0.519,0.533,0.571,0.541,0.524,0.537,0.569,0.543,-0.005,-0.004,+0.002,-0.002,base,models/fine_tuned/checkpoint_FOREXCOM_USDJPYX_4H_phase1_20260404.pt
FTSE_FTSE,1W,1,0.371,0.355,0.355,0.360,0.371,0.355,0.306,0.344,+0.000,+0.000,+0.049,+0.016,fine_tuned,models/fine_tuned/checkpoint_FTSE_FTSE_1W_phase1_20260404.pt
FTSE_FTSE,4H,1,0.523,0.553,0.589,0.555,0.533,0.518,0.584,0.545,-0.010,+0.035,+0.005,+0.010,fine_tuned,models/fine_tuned/checkpoint_FTSE_FTSE_4H_phase1_20260404.pt
HSI_HSI,1D,1,0.539,0.515,0.528,0.527,0.536,0.518,0.531,0.528,+0.003,-0.003,-0.003,-0.001,base,models/fine_tuned/checkpoint_HSI_HSI_1D_phase1_20260404.pt
ICE_BZF,1D,1,0.547,0.534,0.484,0.522,0.521,0.511,0.476,0.503,+0.026,+0.023,+0.008,+0.019,fine_tuned,models/fine_tuned/checkpoint_ICE_BZF_1D_phase1_20260404.pt
ICE_BZF,1H,1,0.531,0.526,0.517,0.525,0.531,0.526,0.517,0.525,+0.000,+0.000,+0.000,+0.000,fine_tuned,models/fine_tuned/checkpoint_ICE_BZF_1H_phase1_20260404.pt
ICE_BZF,4H,1,0.523,0.519,0.526,0.523,0.521,0.519,0.523,0.521,+0.002,+0.000,+0.003,+0.002,fine_tuned,models/fine_tuned/checkpoint_ICE_BZF_4H_phase1_20260404.pt
LSE_AZNL,1D,1,0.541,0.564,0.531,0.545,0.549,0.576,0.539,0.555,-0.008,-0.012,-0.008,-0.009,base,models/fine_tuned/checkpoint_LSE_AZNL_1D_phase1_20260404.pt
LSE_AZNL,1W,1,0.548,0.516,0.419,0.494,0.565,0.500,0.403,0.489,-0.017,+0.016,+0.016,+0.005,fine_tuned,models/fine_tuned/checkpoint_LSE_AZNL_1W_phase1_20260404.pt
LSE_AZNL,4H,1,0.548,0.553,0.563,0.555,0.553,0.563,0.584,0.567,-0.005,-0.010,-0.021,-0.012,base,models/fine_tuned/checkpoint_LSE_AZNL_4H_phase1_20260404.pt
LSE_BPL,1D,1,0.571,0.541,0.491,0.534,0.571,0.544,0.486,0.534,+0.000,-0.003,+0.005,+0.001,fine_tuned,models/fine_tuned/checkpoint_LSE_BPL_1D_phase1_20260404.pt
LSE_BPL,4H,1,0.508,0.518,0.492,0.506,0.508,0.518,0.492,0.506,+0.000,+0.000,+0.000,+0.000,fine_tuned,models/fine_tuned/checkpoint_LSE_BPL_4H_phase1_20260404.pt
LSE_GSKL,1D,1,0.564,0.566,0.499,0.543,0.564,0.566,0.489,0.540,+0.000,+0.000,+0.010,+0.003,fine_tuned,models/fine_tuned/checkpoint_LSE_GSKL_1D_phase1_20260404.pt
LSE_GSKL,1W,1,0.597,0.548,0.403,0.516,0.581,0.548,0.435,0.521,+0.016,+0.000,-0.032,-0.005,base,models/fine_tuned/checkpoint_LSE_GSKL_1W_phase1_20260404.pt
