78887i8p2026-04-02 04:26:17,234  INFO      Stage 5 Training Loop — Start
2026-04-02 13:39:22,882  INFO      Epoch   3 | TrainLoss 0.0899 (BCE 0.1725 Huber 0.0073) | ValLoss 0.0907 (BCE 0.1733 Huber 0.0080) | Gap -0.0007 | ValAcc H1=0.533 H5=0.523 H20=0.512 | LR 9.00e-05 | GradNorm 0.006
2026-04-02 13:45:01,661  INFO      Epoch   4 | TrainLoss 0.0899 (BCE 0.1725 Huber 0.0073) | ValLoss 0.0904 (BCE 0.1728 Huber 0.0080) | Gap -0.0005 | ValAcc H1=0.534 H5=0.530 H20=0.516 | LR 1.20e-04 | GradNorm 0.005
2026-04-02 13:50:37,761  INFO      Epoch   5 | TrainLoss 0.0898 (BCE 0.1723 Huber 0.0073) | ValLoss 0.0904 (BCE 0.1728 Huber 0.0080) | Gap -0.0006 | ValAcc H1=0.537 H5=0.530 H20=0.517 | LR 1.50e-04 | GradNorm 0.005
2026-04-02 13:56:12,385  INFO      Epoch   6 | TrainLoss 0.0898 (BCE 0.1723 Huber 0.0073) | ValLoss 0.0905 (BCE 0.1729 Huber 0.0080) | Gap -0.0007 | ValAcc H1=0.533 H5=0.532 H20=0.520 | LR 1.80e-04 | GradNorm 0.005
2026-04-02 14:01:51,486  INFO      Epoch   7 | TrainLoss 0.0897 (BCE 0.1721 Huber 0.0073) | ValLoss 0.0906 (BCE 0.1732 Huber 0.0080) | Gap -0.0009 | ValAcc H1=0.531 H5=0.527 H20=0.517 | LR 2.10e-04 | GradNorm 0.005
2026-04-02 14:07:24,080  INFO      Epoch   8 | TrainLoss 0.0897 (BCE 0.1721 Huber 0.0073) | ValLoss 0.0906 (BCE 0.1731 Huber 0.0080) | Gap -0.0009 | ValAcc H1=0.527 H5=0.526 H20=0.520 | LR 2.40e-04 | GradNorm 0.005
2026-04-02 14:12:57,603  INFO      Epoch   9 | TrainLoss 0.0897 (BCE 0.1721 Huber 0.0073) | ValLoss 0.0906 (BCE 0.1731 Huber 0.0080) | Gap -0.0009 | ValAcc H1=0.528 H5=0.523 H20=0.520 | LR 2.70e-04 | GradNorm 0.005
2026-04-02 14:18:47,511  INFO      Epoch  10 | TrainLoss 0.0896 (BCE 0.1719 Huber 0.0073) | ValLoss 0.0907 (BCE 0.1734 Huber 0.0080) | Gap -0.0011 | ValAcc H1=0.536 H5=0.530 H20=0.520 | LR 3.00e-04 | GradNorm 0.005
2026-04-02 14:24:49,642  INFO      Epoch  11 | TrainLoss 0.0895 (BCE 0.1718 Huber 0.0073) | ValLoss 0.0906 (BCE 0.1732 Huber 0.0080) | Gap -0.0011 | ValAcc H1=0.532 H5=0.527 H20=0.521 | LR 2.14e-04 | GradNorm 0.005
2026-04-02 14:29:51,903  INFO      Stage 5 Training Loop — Start
